16	0.5	2097990	2098066	0
16	1	2098617	2098754	1
16	2	2100401	2100487	139
16	3	2103343	2103453	226
16	4	2104297	2104441	337
16	5	2105403	2105520	482
16	6	2106197	2106245	600
16	7	2106645	2106770	649
16	8	2107106	2107179	775
16	9	2108748	2108874	849
16	10	2110671	2110814	976
16	11	2111872	2112009	1120
16	12	2112498	2112601	1258
16	13	2112973	2113054	1362
16	14	2114273	2114428	1444
16	15	2115520	2115636	1600
16	16	2120457	2120579	1717
16	17	2121511	2121617	1840
16	18	2121785	2121935	1947
16	19	2122242	2122364	2098
16	20	2122850	2122984	2221
16	21	2124201	2124390	2356
16	22	2125800	2125893	2546
16	23	2126069	2126171	2640
16	24	2126492	2126586	2743
16	25	2127599	2127727	2838
16	26	2129033	2129197	2967
16	27	2129277	2129429	3132
16	28	2129558	2129670	3285
16	29	2130166	2130378	3398
16	30	2131596	2131799	3611
16	31	2132437	2132505	3815
16	32	2133696	2133817	3884
16	33	2134229	2134716	4006
16	34	2134952	2135027	4494
16	35	2135231	2135323	4570
16	36	2136194	2136380	4663
16	37	2136733	2136872	4850
16	38	2137864	2137942	4990
16	39	2138049	2138140	5069
16	40	2138228	2138326	5161
16	41	2138447	2138611	5260
16	41.5	2138612	2138713	0
